Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Iraq,,0.6603641,0.12,1.35263439,1.47349259,0.87407105,1.46154604,0.82268372,33.8102946,109.77885332,82.17950809,76.14584883,94.32527335,118.34584511,266.95048702,276.12422041
Ireland,862.70772135,910.54842988,1031.12866533,1101.91389885,1183.73789288,1322.44681736,1560.26572774,1781.04013176,1942.25004185,2136.83814493,2262.47621436,2440.43545926,2670.00933795,2888.79069944,2814.19383022,2561.5568428
Isle of Man,,,,,,,,,,,,,,,,
Israel,967.55120781,1051.104488,1092.61165641,1041.78989339,1031.60646105,1104.8525869,1166.77601338,1182.80073086,1079.66217427,1117.60969479,1084.64012921,1119.612011,1172.89101599,1251.20116166,1273.52512325,1318.91543352
Italy,1083.99700436,1135.25437012,1224.59917505,1289.81670447,1333.38016342,1496.45580046,1663.08245502,1664.97112186,1687.10120085,1802.19245112,1917.22841467,2087.10010804,2120.17262373,2332.2927598,2391.87943566,2345.35904719
Jamaica,122.25895274,160.93888282,191.6047923,166.49754669,133.91969206,167.08928304,132.04164202,170.00836281,149.48941572,183.04301276,139.01040134,168.37890729,192.18674827,221.17036858,210.03901378,198.85310092
Japan,1278.7501614,1364.62667188,1377.45188472,1403.24104085,1477.77093141,1594.95387073,1688.13315625,1738.86754563,1796.4974973,1893.80484443,2031.88560696,2072.78613922,2210.09782412,2324.57439586,2506.72460024,2643.955311
Jersey,,,,,,,,,,,,,,,,
Jordan,140.19904961,141.58916783,153.52032865,154.67998811,150.55798795,146.56117304,160.1328979,171.28043158,169.33210515,197.0496437,202.03744922,199.90127545,247.79114422,288.56647664,346.71613217,303.41333835
Kazakhstan,107.27398,103.88916298,118.92246512,123.6155777,96.78521154,101.05179416,109.22872189,119.82352666,138.87481797,177.18687454,218.99320085,226.78543382,194.64012186,257.55266546,304.6087867,321.00622745
Kenya,21.1206847,18.32441241,17.58033682,22.38462383,18.98851507,24.64587661,24.317164,22.75120978,23.13375567,22.66458936,24.78463572,26.85495294,29.0580897,26.24349045,32.64079498,34.43059639
Kiribati,138.36971638,144.2224949,155.77486489,127.70417251,163.77811561,156.61611341,170.64044905,179.63123326,205.89268406,227.07782775,215.80357421,216.42270485,270.33532445,257.71560882,249.23463653,212.03414466
North Korea,,,,,,,,,,,,,,,,
South Korea,184.81969214,226.64241441,257.12339368,277.74155903,333.81961282,374.78606853,504.12621728,518.89029734,548.21034662,597.26105093,682.90268607,812.36953559,921.26988439,970.99583843,1093.28645317,1192.94954199
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,872.59966673,798.83440015,865.52878591,1023.57134157,802.13456008,535.32502703,814.6748604,801.00314754,850.86748642,795.37492049,758.35004564,763.44430601,721.56392577,823.05918172,1427.90495173,910.19790828
Kyrgyz Republic,39.37455192,33.52372223,33.74410104,42.23873003,35.99144916,27.34472081,27.81798086,30.76250281,32.14619562,39.057724,41.95512254,55.16080644,66.4751273,62.09965883,78.40437601,78.80368416
Lao,22.43316606,25.73117627,37.51571379,29.50460024,13.05077479,13.99247071,14.23460312,14.08012078,17.29377012,11.83054294,9.21184637,9.71882623,9.37613599,23.09522233,26.14213168,32.3380293
Latvia,209.51838789,206.33482137,227.79283233,262.70051889,278.39095943,260.545118,278.44226416,320.44101671,343.82945802,431.58331361,471.67470942,650.43745774,727.39628755,741.94835734,657.40152084,667.98942756
Lebanon,213.03852718,234.40996478,250.59851521,236.50423852,226.29236819,245.7875614,278.29127495,309.86324963,285.55011966,332.1782624,352.5198564,341.68857428,378.28497294,399.47842028,404.27211636,383.94853401
Lesotho,30.15019474,32.4879023,27.73937488,30.4901069,30.19284756,34.77996203,45.81909952,40.78056031,45.12254735,44.85499473,39.94633722,53.97158695,77.07231858,89.07582862,103.45937152,129.59190727
Liberia,,,,4.24680637,5.27913144,5.65754766,6.67524601,4.58080198,3.5768278,4.20471686,5.41426026,6.97089682,10.80099535,15.8906996,17.1258355,16.02606618
Libya,110.59142001,104.07344439,99.70958227,137.27165008,195.96194781,213.7258698,288.73392187,341.60760009,337.87581925,275.13271445,245.42595509,236.83737532,312.05800046,362.08158616,477.6632736,490.14184656
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,247.35647434,262.13272746,304.53050998,369.67316252,372.42664228,390.00752121,436.61879417,509.10999368,595.78377192,499.54110513,564.5094988,694.74233656,830.07810521,941.14458261,948.56557698,954.92990048
Luxembourg,2002.58369856,2111.38243054,2114.87103987,2265.84834162,2567.27176269,3412.20652065,3363.09526464,4068.11523805,3919.47434112,4522.52397196,4611.57962111,5179.54936963,5072.84192905,5106.69874709,5538.41629701,5691.67271105
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",247.56944645,261.02796005,289.00724816,353.16720166,296.78668352,299.22449821,291.66351844,332.20408589,349.69466068,364.69739456,393.89394365,447.37172843,418.7426632,506.60881104,507.58516869,504.25646671
Madagascar,10.68384257,13.38683702,15.20616288,14.42464982,15.10748602,19.78176358,22.33850421,18.72495648,17.81916808,19.73808406,21.33394148,24.21028879,26.59805848,31.91821904,26.21848008,21.8903341
